room_type,city,neighborhood,reviews,overall_satisfaction,accommodates,bedrooms,price,latitude,longitude,rooms_per_host,population,city_size,log_price
Private room,Brussel,Brussel,0,NA,3,1,35,50.893188,4.363669,1,1019022,large,3.5553480614894135
Private room,Brussel,Etterbeek,0,NA,6,3,30,50.834419,4.378377,1,1019022,large,3.4011973816621555
Private room,Dendermonde,Dendermonde,25,5,2,1,34,51.021952,4.100197,1,43055,small,3.5263605246161616
Private room,Brussel,Elsene,44,5,2,1,30,50.817639,4.352141,2,1019022,large,3.4011973816621555
Private room,Brussel,Brussel,1,NA,2,1,21,50.846454,4.391516,1,1019022,large,3.044522437723423
Private room,Brussel,Elsene,0,NA,1,0,35,50.833807,4.369132,2,1019022,large,3.5553480614894135
Private room,Brussel,Etterbeek,3,5,2,1,35,50.834126,4.393822,1,1019022,large,3.5553480614894135
Private room,Brussel,Oudergem,0,NA,1,1,30,50.817033,4.424754,1,1019022,large,3.4011973816621555
Private room,Brussel,Ukkel,73,4.5,2,1,34,50.812609,4.3517150000000004,1,1019022,large,3.5263605246161616
Private room,Brussel,Brussel,0,NA,2,1,30,50.825148,4.359162,2,1019022,large,3.4011973816621555
Private room,Brussel,Sint-Pieters-Woluwe,0,NA,2,1,14,50.838921,4.415817,1,1019022,large,2.6390573296152584
Private room,Brussel,Sint-Jans-Molenbeek,50,4,6,2,38,50.852295,4.329749,1,1019022,large,3.6375861597263857
Private room,Brussel,Etterbeek,0,NA,2,1,35,50.832121,4.392354,1,1019022,large,3.5553480614894135
Private room,Brussel,Anderlecht,1,NA,3,1,24,50.84155,4.338132,2,1019022,large,3.1780538303479458
Private room,Brussel,Brussel,1,NA,2,1,41,50.834769,4.347792,1,1019022,large,3.713572066704308
Private room,Brussel,Sint-Jans-Molenbeek,14,5,2,0,41,50.84639,4.325832,1,1019022,large,3.713572066704308
Private room,Brussel,Schaarbeek,9,5,1,1,13,50.857126,4.39878,1,1019022,large,2.5649493574615367
Private room,Halle-Vilvoorde,Kraainem,12,5,2,1,36,50.839912,4.467955,2,NA,NA,3.58351893845611
Private room,Halle-Vilvoorde,Meise,0,NA,2,1,11,50.935456,4.302926,2,NA,NA,2.3978952727983707
Private room,Halle-Vilvoorde,Zaventem,24,4,2,1,30,50.869317,4.462912,2,NA,NA,3.4011973816621555
Private room,Brussel,Elsene,20,4.5,2,1,27,50.830424,4.360366,1,1019022,large,3.295836866004329
Private room,Brussel,Brussel,0,NA,2,1,24,50.849133,4.382958,1,1019022,large,3.1780538303479458
Private room,Brussel,Jette,37,4.5,2,1,32,50.875726,4.332837,2,1019022,large,3.4657359027997265
Private room,Brussel,Sint-Joost-ten-Node,8,5,2,1,35,50.852833,4.381625,1,1019022,large,3.5553480614894135
Private room,Brussel,Brussel,0,NA,2,1,35,50.844909,4.344585,1,1019022,large,3.5553480614894135
Private room,Brussel,Brussel,0,NA,5,1,24,50.848054,4.371472,1,1019022,large,3.1780538303479458
Private room,Brussel,Sint-Gillis,0,NA,2,1,35,50.838981,4.338508,2,1019022,large,3.5553480614894135
Private room,Leuven,Leuven,1,NA,1,1,24,50.880551,4.689697,2,92892,small,3.1780538303479458
Private room,Brussel,Elsene,14,5,2,1,31,50.814368,4.386107,1,1019022,large,3.4339872044851463
Private room,Brussel,Schaarbeek,1,NA,1,1,30,50.864113,4.361319,1,1019022,large,3.4011973816621555
Private room,Mechelen,Willebroek,0,NA,2,0,41,51.084078,4.386208,5,77530,small,3.713572066704308
Private room,Brussel,Schaarbeek,20,4,2,1,25,50.859455,4.377527,2,1019022,large,3.2188758248682006
Private room,Brussel,Schaarbeek,44,4.5,2,1,30,50.858883,4.383113,4,1019022,large,3.4011973816621555
Private room,Brussel,Etterbeek,0,NA,3,1,30,50.830353,4.383944,1,1019022,large,3.4011973816621555
Private room,Brussel,Sint-Jans-Molenbeek,3,5,2,1,26,50.850313,4.340077,1,1019022,large,3.258096538021482
Private room,Antwerpen,Antwerpen,16,4.5,3,2,36,51.214958,4.40846,1,459805,large,3.58351893845611
Private room,Antwerpen,Antwerpen,3,3.5,3,1,32,51.22051,4.416165,1,459805,large,3.4657359027997265
